RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
102001,0,United States,country,,1280.6338631798362,1287.501923724023,1296.6459051686645,1306.7217742236733,1316.7512418929673,1325.5908690948736,1331.9092260791251,1335.8125618037766,1337.5571505987598,1338.0820619519573,1338.4478004579603,1339.0511873241358,1342.3980425730701,1347.7063934590299,1354.3309995625375,1364.5081418866694,1374.33171755095,1384.072474018603,1387.478188823428,1388.5498125759157,1387.7738503596186,1384.8703768830624,1382.2125950506488,1379.6733174942972,1386.074043959721,1394.9684913680442,1407.6266137688472,1416.520294083811,1426.1084768979326,1433.6416247500997,1438.6555616847277,1440.3908709865377,1440.7902337390094,1439.4685614753694,1439.4745002112224,1440.6032153671335,1445.7298337934606,1453.5042013464272,1463.6649796400723,1473.9434945701319,1482.934662750553,1490.8351981350145,1496.577166061813,1499.990793968102,1499.716475117937,1498.9963080480406,1499.5774870605267,1501.8310961873608,1506.568692080742,1513.3805445243233,1523.915227005194,1534.3318875952461,1544.4595893888902,1553.0607168652305,1559.428258455911,1562.9969521969444,1563.2700799708934,1562.2086021277842,1561.159893456371,1562.3060916303327,1567.693937148202,1576.5529534417024,1584.9043075676395,1584.80492114719,1582.687309002891,1582.1867301961054,1587.0188109178584,1588.5553055212317,1586.6634742153906,1584.9282160480905,1586.1649453850318,1588.6379588476557,1594.2293262257738,1602.992528673873,1618.4858169778079,1640.4241770355916,1668.8346297835299,1701.4424666911716,1735.219130763316,1766.9423519534348,1792.6060755103117,1809.4087475292777,1820.8291034424772,1831.6860488145314,1843.9595681039714,1860.9231249746354,1878.456186769455,1900.502288273021,1923.1451564532663,1946.9543529593125,1966.852087010825,1979.084998706055,1983.490868286553,1981.7037964349674,1977.3844353728048,1975.835739045224,1977.938133296439,1983.983289245771,1992.4892960504023,2003.2801191892522,2015.8466793377886,2026.8868301663929,2037.1844813017194,2043.7195039241008,2047.0956328483717
394913,1,"New York, NY",msa,NY,2426.843123990766,2443.214185215446,2461.569551329785,2484.3351918324274,2500.4473069293304,2519.22882174727,2531.6092477707743,2542.552315802758,2546.2045860262074,2542.593144315666,2533.6602115877486,2522.9145930621826,2520.1541137566855,2523.4077804784292,2531.665861877389,2546.3575540036013,2563.3283687220674,2581.981034762083,2593.8368624146606,2598.6592515313832,2597.687237886925,2589.650643121036,2580.465916269368,2563.2492312323798,2561.1182344611857,2561.671351998402,2577.0019459334417,2589.3308061798493,2609.528889192569,2625.7917086796774,2636.7577988282474,2638.240015844351,2636.56690970358,2622.7026732463096,2607.315705301813,2592.6803391492754,2589.9484796388206,2597.147904990061,2610.459818421776,2631.790108579985,2650.8542794353566,2669.1973306006134,2681.6880125622765,2691.061962038422,2691.3318453686525,2681.926017933908,2669.7300685455343,2659.0105879953126,2658.0283485764185,2668.0156711482546,2683.323172902863,2701.7748181940283,2722.386695447729,2746.033916094217,2762.230937336521,2769.5588048127483,2766.7609200618776,2761.7994574406152,2748.690080590017,2740.9763587597063,2741.0142566754444,2756.2554704176378,2766.656607117395,2758.677029840192,2739.3900700654035,2714.1829867162055,2688.0686391214595,,,2536.6656344191756,2505.2844548612447,2490.8478337155243,2486.527023864118,2496.9722505696045,2520.677170513701,2553.060856585151,2600.643211012436,2659.0523591848014,2725.3948231409045,2789.8356499951374,2842.0871784649426,2875.669665499485,2897.5111193023017,2917.369059238406,2943.5102329840843,2981.5923588915557,3022.972306336561,3069.3386152191947,3124.8366793182454,3186.3678540654173,3239.4298342593524,3268.9284100796776,3270.505883676091,3251.583541006522,3216.8886949731577,3192.662155291689,3186.0902738887407,3201.305375061654,3227.659770609708,3264.97139885446,3305.837389021547,3343.975858904247,3369.0881191548815,3378.2310652560386,3376.2057000550644
753899,2,"Los Angeles, CA",msa,CA,1897.5977849342005,1909.296480343675,1924.7022260945585,1939.3560222628992,1954.7174524870181,1967.0559352527714,1980.9829985417653,1991.3294894262133,2000.9701959325898,2006.2852270769995,2011.2852377167471,2018.1891658767724,2028.3600155830197,2041.6380721736818,2053.0599031301217,2064.954044203993,2077.31207509152,2090.7458611355914,2100.3578892108917,2106.700635420034,2111.8948309482926,2111.311940560792,2111.4926043380456,2109.6502638483003,2128.9990505836117,2148.411954914306,2174.9001529186826,2187.6080205220596,2201.387441327384,2211.2250628139045,2220.3483381090205,2226.7458207930845,2231.6341996074434,2233.6765611117085,2238.6425587807676,2243.403640783547,2253.382621786806,2263.8628201394085,2275.6628599537894,2287.0936575764254,2297.2206179589753,2308.8120858065267,2318.7422532182877,2327.6487710311617,2333.2271165782536,2338.2864071768986,2344.809364265262,2349.6353863830186,2355.3757870731656,2359.5311095798006,2371.921089641531,2382.457988082352,2394.4006091628266,2403.685156742301,2412.005190090413,2418.6237481137655,2422.037005214319,2423.985367277124,2426.939464521545,2431.0658443127813,2440.596946568377,2445.9481389941575,2445.911626965886,2431.196998445131,2417.6255201529984,2408.5762880745306,2409.2591819640616,2409.4199921223067,2411.047347116557,2414.2639366003746,2419.8488841064977,2420.6391570321944,2423.2779673555406,2428.7624260658276,2442.189815070704,2457.580420372641,2480.4187370022073,2517.4944369686946,2567.058841330964,2623.6435504164037,2666.362482110818,2697.2086888576437,2713.5378559008022,2733.959509395737,2753.5362875594774,2780.2169387116246,2806.788816548414,2837.16034147513,2867.1117854907634,2892.31691938616,2914.743010855115,2931.7611132693737,2939.494474682416,2937.6549849748335,2928.9746882931436,2924.394107574441,2920.801579032959,2928.269343114439,2936.6619949774786,2951.16463195893,2958.0042586825093,2968.798884180056,2982.964790390252,2995.8866680835117,3001.423728373069
394463,3,"Chicago, IL",msa,IL,1417.3257276359018,1424.7762463153654,1435.9121904575406,1445.7726419900546,1456.7228982930394,1465.3290750679555,1470.2930700945499,1472.5594316904376,1467.3238774580389,1460.3304979813895,1454.27723160371,1454.5403721848688,1462.56838217667,1471.100449980552,1482.5942070859762,1490.6661442042046,1501.2203395435367,1511.020771840325,1518.1627702710953,1521.6667062817917,1514.7411973728636,1501.5107170637355,1484.2262656479513,1473.8592101922593,1482.6208054813974,1499.7824110441902,1520.9570143632702,1532.3845494371415,1543.5893033106902,1549.2443400396237,1551.2411671894592,1546.6287662138548,1540.4170843614777,1529.9754944738543,1523.1896707518729,1521.607959697845,1529.4815889502117,1540.6318749240957,1552.9231195662742,1564.044493436019,1574.27436390658,1582.861515623233,1586.6654440802597,1583.9492632502925,1573.7013021330647,1562.8118908417075,1556.4921073458888,1557.578052949706,1565.7863577212006,1576.210790383808,1591.5367708660062,1605.1725158670897,1616.7807477406247,1624.204307747004,1627.0035451586848,1627.5397074210675,1622.916246593242,1615.3255577967996,1607.817456343796,1602.7980063060124,1612.3127200292804,1623.8037429764875,1638.325261682909,1638.6446158684569,1637.158108759127,1633.208162445366,1632.040061278652,1625.6940241985692,1611.4504080782885,1591.8998608193833,1576.6403945741322,1568.2335884842437,1566.1151465807586,1572.6054159878793,1590.1083223744013,1618.2932255060732,1647.182705290935,1671.8750703541352,1690.621054916974,1703.603297418664,1711.1220184559704,1712.1547869296162,1713.1061910627636,1719.0206358812661,1733.1942018361162,1750.3298206195236,1770.7619893891142,1793.240299572418,1817.5441555765005,1837.7336081218764,1854.7608897778232,1861.9323918894881,1864.1909139737836,1862.602664534771,1858.1496954954744,1860.9478004205414,1868.049689385138,1880.8885317900788,1893.6378774638886,1909.2732004309598,1932.0581531666546,1952.4813788119488,1965.3213395307857,1972.6302114789223,1971.3210221108827
394514,4,"Dallas, TX",msa,TX,1139.808664920785,1144.8285215064905,1152.96322594018,1163.6904789929824,1174.252609348095,1182.7701100584743,1190.4612397087965,1193.4666270887376,1194.3759463743386,1194.2269588505733,1196.40383844777,1199.3432078672724,1201.5664737983836,1206.632385953923,1215.2259292850354,1225.7560243443836,1234.2760539113524,1241.3713815930923,1245.8788607333,1248.4635122108807,1247.5187854061235,1246.2005090706393,1246.156616250423,1246.776529096082,1254.860726818124,1262.1820088659067,1275.3215295230239,1283.6049561765724,1295.9597058790682,1302.4221548160783,1307.3848410756614,1308.691796916567,1308.4448236424623,1307.10002957282,1308.149625166276,1308.9846837601763,1313.6750302164617,1320.5580929076768,1328.123614484333,1335.2751097152852,1340.2704430405124,1348.6736534841798,1352.810197354915,1355.0875043431615,1352.6989753390808,1355.3000035163006,1355.5587888945215,1357.4358997906147,1359.1539675189015,1364.5380631325304,1375.7693329512285,1385.4522649888459,1394.0902144082236,1400.9446099603542,1405.1829532393917,1408.3425804536032,1408.6345403045384,1408.8742095649359,1405.9659945710935,1402.473271350155,1403.6157444657376,1410.5223492145237,1418.2985456313054,1419.4103079045906,1417.3421677169624,1417.87160506017,1421.7437462025505,1426.8432191166498,1430.5278838537954,1435.4529140342597,1439.7542432559057,1443.9619197517686,1445.2576690145283,1449.9613937557663,1459.3143038055202,1481.036445916279,1510.7440141450772,1546.1260753356257,1582.1262948369872,1615.0627539453099,1640.6054159069681,1656.5575940732308,1669.1047187085878,1679.9271956457226,1692.6655916513291,1705.7953738200845,1719.0810970710259,1739.6834175065499,1764.4340515309345,1795.6423091467743,1817.3826427349838,1825.5923033631457,1822.1793377333174,1812.7370759834064,1803.7801142843223,1795.7204239138173,1793.7993064381947,1796.9005979953065,1802.8310947081914,1806.2825405939004,1813.1907591326449,1821.7118439044661,1830.681079912579,1832.9881329490386,1829.204295486583
394692,5,"Houston, TX",msa,TX,1251.7722936502446,1256.316281761015,1263.0335450710593,1275.256750026177,1285.11725985977,1294.6439788195125,1296.6475987184103,1296.668013132243,1291.7721882572316,1287.3518601777969,1284.0294366349428,1282.8639479641042,1283.9266650808277,1285.3810542229357,1290.691286135784,1295.4471949972235,1299.2606386514988,1299.1856757785417,1296.596922694533,1291.5667769585452,1284.283731427739,1273.8122310709343,1263.6060137823208,1257.1746888422397,1266.2672630908617,1280.0183020206473,1294.7131690703957,1298.9220605839926,1307.077340892115,1308.8485423181587,1309.8572189647873,1304.8550236934839,1312.4631716046185,1320.8079535440922,1331.8645174934347,1337.996360123402,1340.5429996843095,1345.9451762907715,1346.4954258433008,1354.1163547500885,1356.2529077261051,1362.3395016520685,1362.0875119705986,1361.3143786310043,1357.0554016873052,1355.8776650056163,1357.7693478250114,1357.5673252816762,1359.157063695229,1358.6917199103816,1365.427782961025,1370.8361360177025,1379.5278354317736,1385.7986564824093,1389.2833619156372,1388.152319158404,1384.9202487326081,1384.5039422623768,1385.0887089383586,1388.6825174913517,1391.7224186520855,1398.3350705019286,1403.5942492764723,1400.0074109022692,1392.4207372204185,1386.1749344137702,1390.0664409791718,1394.8547583214306,1396.5454847009219,1399.033334106274,1402.730363491159,1404.274296454057,1403.8372286551146,1399.614674946577,1405.2919154474998,1417.7943277932322,1441.5549870352345,1469.3767796103996,1496.4559421953156,1520.3552781577016,1534.7259136839775,1543.02772765245,1547.8974033371462,1553.3649864761169,1561.3449510343726,1571.0417025918812,1581.0745887123653,1592.5875379018448,1604.5688289259244,1619.5385774569427,1631.4914542601423,1638.4986191332862,1635.2274009360344,1630.4605754232557,1627.0778688131802,1626.560153637759,1634.2875375510662,1641.7416490781,1651.5037344428106,1655.7658055080692,1664.868337859368,1674.5896842827092,1681.5461781574393,1682.6831840304797,1679.8239812815611
395209,6,"Washington, DC",msa,VA,1754.7657789738976,1761.327225077889,1773.6775044089054,1781.015116422918,1791.08940740018,1797.7946908321446,1801.3720285437134,1798.416056054166,1797.3072269944391,1793.7760436525286,1793.269513688407,1788.777335641023,1790.6010826781883,1794.5822839625575,1802.148544114655,1811.1683890768334,1821.5136385191686,1830.1846623734557,1834.0334426449642,1833.7055894207847,1830.1611194367226,1820.5827492498308,1813.3679565845894,1805.988433637848,1813.2898170284595,1826.452499188447,1843.3129519879342,1855.109822042415,1861.1800975407275,1868.5888685514649,1871.3831938994274,1870.6757833627933,1868.0781540474627,1862.6790643369416,1857.4146886367996,1853.4775544524255,1857.9874044709939,1864.288753811549,1876.8789103236766,1888.232457728037,1900.0024494801632,1908.3174145243383,1913.6068194442187,1916.7704814465706,1912.0661465770556,1908.0893054347744,1908.825352970804,1913.3169582983212,1918.8957832246829,1925.1830048200566,1934.7022166828942,1945.4985222297366,1956.5452678198924,1965.986111965811,1972.095350593264,1974.064452287698,1974.2480270027097,1968.752337129791,1962.6358443634222,1961.9626608575409,1970.751357108752,1979.939424632548,1990.1470865329902,1988.1472984824184,1984.7354859377135,1977.5815471727976,1975.3047085368735,1971.316010906916,1959.8865328443121,1944.8408972323614,1926.6617768608116,1911.2868790304988,1906.9719389629215,1911.7102262058283,1923.3475395298678,1941.515860274294,1970.501439949439,2009.056157407941,2047.4212678257038,2079.4696917647657,2099.8364000554025,2110.555343663466,2111.7084023244506,2113.5333229358453,2115.759511494883,2127.3043116648214,2144.694824246338,2169.02933836157,2195.57896722252,2221.8300979089213,2246.5984970595287,2257.748166331358,2258.831820299437,2245.4364396315354,2230.349013677384,2218.7227139002707,2217.0679510292343,2227.2395948499416,2240.1075363772666,2257.506525040263,2275.816973160649,2295.61929707894,2312.943731411001,2326.153319872065,2333.930032882881
394974,7,"Philadelphia, PA",msa,PA,1280.1910058439134,1286.4937113443427,1299.4450720699813,1306.993792544472,1314.043331180442,1316.3246961550265,1318.1522503770104,1318.4338914837904,1317.5381000794932,1316.4889909218869,1312.5393966983609,1307.4996267612341,1307.9805459386923,1317.7378597500879,1329.7457367348206,1341.1322052270173,1347.8173583823311,1354.6393341778,1355.7699922978313,1355.0700618264584,1350.6853233597437,1344.5242968956256,1347.4656578316994,1346.3593466439693,1354.2190004681056,1356.8768181029573,1370.1626392645633,1377.3249238153428,1383.3462327759667,1383.8436645032523,1385.054431625458,1386.1244718945622,1386.54043184338,1385.6219796053597,1383.5541946097908,1385.424811612663,1388.928762730717,1397.3411118811118,1407.8278004347235,1417.1683240135076,1425.3827378509884,1429.3288435440445,1431.0482309907231,1430.4747799405845,1429.0154858855233,1430.7063292615965,1433.261095745975,1432.6903972722648,1436.4128443625702,1443.56083469444,1457.718642782227,1468.0633879124994,1474.5976079332183,1481.8372337933436,1485.7772392097124,1486.5575233946354,1482.9953678207048,1482.693517073969,1483.4627531527694,1486.8854676919684,1489.8565262683233,1499.89769707525,1509.6547439263877,1512.4208432714402,1510.9710681144868,1511.2830983083104,1516.3303734756994,1515.8118675455592,1515.284777124498,1517.175860950316,1522.1443294449064,1524.4545028889609,1524.0216454116223,1527.60401051558,1536.192920030675,1554.1849558429813,1575.3557538133662,1596.7826778167193,1615.8846465835782,1634.7573906952937,1649.7691352934096,1661.089241712816,1668.6069720664964,1680.2268387171816,1691.5197103328178,1703.6312381435964,1713.1174023006643,1726.0448801810537,1740.2313510567828,1755.7413891286594,1769.5867798064592,1776.8009260163333,1781.9821181354812,1778.053266246157,1777.7440853119592,1773.542028580233,1776.653374048794,1776.776999372692,1782.5513176116895,1788.774316637237,1800.2738239516075,1807.1459989023701,1817.2217777827573,1826.654086290925,1838.795009243825
394856,8,"Miami, FL",msa,FL,1548.036161643486,1555.11351756089,1561.1636214025698,1568.1660495792482,1577.9545049588426,1587.5084929170296,1596.8067682687752,1604.3698273062212,1616.11031303808,1625.2840894349397,1634.3254953829294,1637.1122607229527,1641.1620827015097,1642.4346137210537,1644.969924484263,1646.578312264516,1647.991678569704,1648.7583439739913,1650.2287056423863,1653.601465062292,1659.479357403671,1661.707156502986,1665.3057758635655,1662.27243345267,1666.8265712820012,1668.8988487727531,1676.990819168704,1678.7324954806525,1681.5515966591388,1685.721155602279,1692.4803398954625,1699.4964328694198,1705.9622480325918,1712.034041492286,1714.1695279526332,1715.360470968495,1717.1112255410105,1721.0394305886414,1725.2630351691985,1729.5968567491302,1733.4468720260084,1739.1275300390619,1745.791642044287,1753.0500107848297,1758.9191332436358,1764.8408197997385,1771.2369984328845,1777.1433068554043,1777.8035900704065,1778.2578168251375,1778.5154295220354,1782.1338828336247,1785.146819795734,1789.9400855382548,1795.1668811564618,1801.1395910732897,1807.1053506756045,1816.972025332943,1827.0288277535146,1836.041084689949,1839.0954701528115,1843.4557517809765,1843.4994788840993,1836.1858364217073,1825.3228077692654,1822.8066140744656,1827.7210777974756,1833.8321590366268,1839.9352381519561,1854.647263548342,1875.3013010122133,1892.9988937226638,1909.9705852873471,1932.8817096438065,1960.9629129164755,1993.7862550212058,2037.1694020173834,,,2237.602555329432,2299.316501417723,2350.1381165813254,2399.182853241809,2450.1951573334713,2498.687643457593,2536.0860676545417,2580.2135085225814,2620.277111712179,2661.3687099670988,2683.3116170232606,2703.1681672859586,2710.351653504685,2720.0548302109955,2726.8958257975423,2741.227176659745,2747.556804657519,2747.553394618012,2747.148443865688,2751.838524219585,2761.573449802425,2770.20352104681,2778.761415306104,2785.1292987974725,2789.8276241240715,2794.5030826743023
394347,9,"Atlanta, GA",msa,GA,1069.0330026347467,1074.7076514694613,1078.3058796288265,1089.5525344214986,1097.540040179141,1109.0615219069596,1115.9599044121378,1120.0807910895142,1121.7287550526949,1120.6057925307707,1121.2492850628544,1124.1090134236144,1129.1813325785986,1136.8305976575534,1145.2742936078914,1154.6092438057258,1163.833126307652,1171.9185388189253,1179.4266998478372,1183.4812324665204,1184.9663229770047,1183.774359033157,1183.497597310147,1185.4021203026343,1191.027705942591,1200.6362183811539,1212.141929197555,1223.7790866547953,1235.6828945003665,1246.4070135138027,1255.4319246114112,1259.198218067752,1261.036013392669,1259.3760771735626,1260.8180427658351,1262.259390777241,1269.4351558091892,1277.2898987282554,1289.1142248285098,1301.2283460821411,1313.8334685559923,1323.3929090081383,1328.7429551843984,1331.2295066444703,1332.5418696561892,1338.4664218231912,1343.7215976005787,1348.4718752913047,1354.2714847647833,1362.9777233159084,1375.7585689987677,1386.7703895643228,1396.614556067719,1405.2615849680517,1410.486034889459,1415.213321801589,1418.9524595593498,1418.9974341638008,1417.2637630270483,1416.9471304505112,1421.9635467120397,1431.4984088910303,1439.161762020621,1442.0003465173177,1444.0981616779693,1450.6050380830927,1465.4557191116567,1479.635543066472,1491.0158888837823,1499.2637643846522,1507.1923521614299,1514.564653857405,1525.388678477815,1541.3635014150796,1560.9346498613936,1586.1454741864698,1617.4958645797199,1660.1841081515554,1704.4016885567312,1749.9800447366886,1781.0668273528718,1803.6504639890948,1811.6056274803805,1816.8437152991623,1822.248415224504,1830.5305929597305,1845.2864043652037,1859.5184178941583,1879.9553456782808,1902.3161530168388,1927.5242637819363,1940.9722155775974,1944.8811218589108,1938.8845036285525,1931.7973014683937,1933.1179514563992,1932.0693698837315,1937.1474191772566,1938.5429804376695,1947.5217910345305,1952.4573121774765,1953.2345167773208,1954.5090374113893,1954.9818184641156,1954.523354134443
